"Reference","Value","Footprint","Qty","DNP"
"J101","LeftKeyConnector","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1",""
"J102","RightKeyConnector","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1",""
"J103","EncoderConnector","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"SW101,SW102,SW103,SW104,SW105,SW106,SW107,SW108","SW_Push","footprints:SW_Cherry_MX_1.00u_PCB","8",""
"SW109","RotaryEncoder_Switch_MP","footprints:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","1",""
